Category	Keyword	Lang
9	#boldrina la uoma	it
9	Boldrini presidenta	it
8	sessismo all''incontrario	it
8	ossessionata dal sessismo	it
8	ossessionate dal sessismo	it
6	#FestadelleDonne 	it
1	arrampicatrice sociale	it
1	arrampicatrici sociali	it
1	tutte le donne sono	it
4	per essere donne sono	it
8	donne rubano il lavoro agli uomini	it
1	tornate in cucina	it
8	supremazia delle donne	it
8	uguaglianza di genere come supremazia delle donne	it
8	donne contro gli uomini	it
8	donnecontrouomini	it
8	donne contro uomini	it
8	Donne contro uomini	it
8	donne che odiano gli uomini	it
8	Donne che odiano gli uomini	it
8	donnecheodianogliuomini	it
4	alla donna bisogna insegnare	it
4	alle donne bisogna	it
4	Alle donne bisogna	it
4	la donna è inferiore all''uomo	it
4	La donna è inferiore all''uomo	it
4	donna inferiore all''uomo	it
4	donne inferiori agli uomini	it
4	gli uomini sono superiori alle donne	it
4	Gli uomini sono superiori alle donne	it
4	l'' uomo è superiore alla donna	it
1	per essere donne sono	it
1	una donna come te	it
1	Una donna come te	it
1	Per essere donne sono	it
1	Per essere una ragazza sei	it
1	per essere una ragazza sei	it
1	per essere una femmina sei	it
1	al gentilsesso bisogna	it
1	Al gentilsesso bisogna	it
1	al gentilsesso si deve	it
1	Al gentilsesso si deve	it
1	Col gentilsesso bisogna	it
1	col gentilsesso bisogna	it
1	Col gentilsesso si deve	it
1	col gentilsesso si deve	it
1	kobiety do garów	pl
1	kobiety do garow	pl
1	miejsce kobiety jest w kuchni	pl
1	miejsce kobiet jest w kuchni	pl
1	#kobietydogarow	pl
1	kobiety nie nadają się do rządzenia	pl
1	kobiety nie nadaja sie do rzadzenia	pl
1	kobieta ozdobą meżczyzny	pl
1	kobieta ozdoba mezczyzny	pl
2	histeryczka	pl
2	histeryczki	pl
2	kobieton	pl
2	psychopatka	pl
2	psychopatki	pl
2	wariatka	pl
2	wariatki	pl
2	słodka idiotka	pl
2	słodkie idiotki	pl
2	plodka idiotka	pl
2	plodkie idiotki	pl
2	kretynka	pl
2	kretynki	pl
3	cipa	pl
3	cipy	pl
3	dupeczka	pl
3	dupeczki	pl
3	suka	pl
3	suki	pl
3	cnotka nie wydymka	pl
3	cnotki nie wydymki	pl
3	loszka	pl
3	loszki	pl
3	wyglądasz jak dziwka	pl
3	wygladasz jak dziwka	pl
3	lodziara	pl
3	lodziary	pl
3	niunia	pl
3	niunie	pl
3	ruchable	pl
3	nieruchable	pl
3	puszczalska	pl
3	puszczalskie	pl
3	szmata	pl
3	szmaty	pl
3	szlaufy	pl
3	niedoruchana	pl
3	niedoruchane	pl
3	niedojebana	pl
3	niedojebane	pl
4	#jakbaba	pl
4	#babazakierownica	pl
4	Nie bądź baba	pl
4	nie badz jak baba	pl
4	Kobieta powinna być	pl
4	kobieta powinna byc	pl
4	kobiety powinny być	pl
4	kobiety powinny byc	pl
4	Dziewczyna powinna być	pl
4	dziewczyny powinny być	pl
4	dziewczyna powinna byc	pl
4	dziewczyny powinny byc	pl
4	#głupiababa	pl
4	Kobiety nie nadają się do	pl
4	kobiety nie nadaja sie do	pl
4	kobieta nie nadaje sie do	pl
4	kobieta nie nadaje się do	pl
4	Dziewczyny nie nadają się do	pl
4	Dziewczyna nie nadaje się do	pl
4	Dziewczyny nie nadaja sie do	pl
4	Dziewczyna nie nadaje sie do	pl
5	gwałt	pl
5	zgwalce cie suk*	pl
5	zgwałcę cię suk*	pl
5	gwałcić sukę	pl
5	gwalcic suke	pl
5	wyrucham	pl
5	ruchać	pl
5	ruchac	pl
6	życzliwy seksizm	pl
6	zyczliwy seksizm 	pl
6	kobiety przodem	pl
6	kobieta przodem	pl
6	panie przodem	pl
7	feminazistka	pl
7	feminazistki	pl
7	gendergestapo	pl
7	genderowa indoktrynacja	pl
7	feminizm to rak	pl
8	odwrócony seksizm	pl
8	kobieca dominacja	pl
9	lesba	pl
9	lesby	pl
9	lewacka lesba	pl
9	lewackie lesby	pl
9	morderczyni dzieci	pl
9	morderczynie dzieci	pl
9	aborcjonistka	pl
9	aborcjoniski	pl
9	#niejestemfeministka	pl
9	#NieJestemFeministką	pl
9	#kobietawyzwolon	pl
